Genes,M_Log2FC,S_Log2FC,GB_log2FC,H-GBM_log2FC,H1,H2,H3,H4,M1,M2,M3,M4,M_AdjP,S-SHAM-1,S-SHAM-2,S-SHAM-3,STROKE-1,STROKE-2,STROKE-3,S_AdjP,GB-SHAM-1,GB-SHAM-2,GB-SHAM-3,GB-1,GB-2,GB-3,GB_AdjP,Mus_GeneID,H-GB-Control-1,H-GB-Control-2,H-GB-Control-3,H-GBM-1,H-GBM-2,H-GBM-3,H-GBM-4,H-GBM-5,H-GBM-6,H-GBM_Padj_Value,MSG_Genes,M_Control_Exp,Meningitis_Exp,M_UP,M_DOWN,S_Control_Exp,Stroke_Exp,S_UP,S_DOWN,GB_Control_Exp,Glioblastoma_Exp,GB_UP,GB_DOWN,H-Control-GBM,H-GBM,H-GBM-Regulated,HBM-UP,HBM-DOWN
Pfn2,-0.560883814,-0.698647949,-1.113884728,#N/A,774.5325014,548.9040162,869.2049602,841.1236337,476.3920396,506.2987814,557.2529115,517.4527248,0.003307106,428.748603,471.6457903,435.7488831,256.2102461,309.8129619,256.8667242,6.44E-05,614.4241918,559.0438336,602.3351231,321.1800105,211.6268768,289.9468271,1.51E-06,ENSMUSG00000027805,202.755979,358.3708748,791.3318524,247.1223197,1095.073155,259.6978706,306.079914,322.7188128,416.6705258,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0
Ptx3,5.247317498,2.267198012,6.54518551,#N/A,2.318959585,0,2.176640134,1.824563197,36.46457587,43.18113274,38.73282569,127.4323874,7.07E-13,2.012904239,1.763161833,17.8070457,41.925313,33.46744959,26.98961957,0.023143274,0,0,0,18.35314346,8.929404085,20.64028261,0.000165294,ENSMUSG00000027832,0,0,34.22426788,1.497711029,219.2176102,23.05010686,24.92696269,10.48544879,0,#N/A,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Serpini1,0.525967182,-0.711571159,-1.552834018,#N/A,1157.933819,1341.280561,1379.264298,1425.896138,1480.932291,1943.150973,1710.49156,2503.595895,0.009326988,890.7101259,908.9099248,974.1501474,518.2434524,453.2448888,721.2743161,0.002150185,1279.197033,1480.989701,1297.608673,528.3083438,447.3631447,409.8570403,5.31E-17,ENSMUSG00000027834,128.41212,128.3576728,290.4889079,85.36952863,343.0349642,138.8128657,102.026638,121.165186,103.245794,#N/A,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0
Casq2,0.604459345,-1.061955879,-2.024161592,#N/A,1217.453782,2100.495973,1465.604357,1896.633443,2276.095301,2467.801736,2490.145858,2920.647345,0.003957825,1249.007081,1420.226856,1236.018467,689.4384804,409.2590979,772.4615256,5.95E-05,520.5538291,637.6593727,461.1628286,121.9173101,140.1916441,135.6361428,9.35E-19,ENSMUSG00000027861,9.65504662,0,0,0,28.41709762,0,14.49242017,5.825249328,0,#N/A,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
Hmgcs2,-1.977006317,-0.823287217,-1.355622375,#N/A,3339.301802,4389.486807,2710.642514,4137.197048,1180.981748,1231.741812,733.4247961,554.7814039,2.77E-14,4540.105512,5456.104292,3890.31575,2457.289179,2556.913149,2833.910055,2.35E-06,928.4632231,1185.585857,959.9716024,298.8940506,367.8914483,532.7158654,2.54E-08,ENSMUSG00000027875,0,3.747669279,0,0,0,0,0,0,0,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Ampd2,1.119515397,0.524766132,0.77896197,#N/A,521.7659066,534.0687725,380.1864767,381.3337081,898.6753538,832.3163336,1164.483663,1054.213387,1.09E-09,454.9163581,546.5801682,426.3216236,770.9599224,646.3998836,640.3054574,0.008828789,197.1277615,246.1698699,174.1124965,317.247194,382.1784948,361.6963809,0.003906659,ENSMUSG00000027889,252.9622214,0,1.669476482,365.441491,1061.581575,156.7407266,317.0941533,250.4857211,578.9139164,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0
Slc16a4,-3.485740036,-0.813138693,-0.688711508,#N/A,4198.089835,6055.397406,3626.282463,5446.321142,330.5337362,598.0586885,433.5577585,361.702029,7.08E-57,2277.601147,2136.07056,1449.703015,1038.816089,740.1087424,1557.952523,0.023949857,1319.305278,1565.958011,1144.672021,718.3944724,946.516833,834.4571397,0.001926077,ENSMUSG00000027896,1673.219579,872.2700247,3208.733798,820.7456437,186.7409272,950.1766272,1095.626965,477.6704449,372.4223284,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0
S100a11,1.244196019,1.378654943,0.825128938,#N/A,1686.656605,1817.753682,2098.281089,1737.896445,4628.648583,3608.863169,4076.942265,5077.98756,9.33E-18,1212.774804,1314.437146,1475.889847,3321.416463,4010.356674,3075.885954,2.93E-18,385.7218537,414.5182971,384.6945024,706.596023,733.1040754,660.4890434,2.90E-05,ENSMUSG00000027907,1465.636077,3020.15298,952.436333,2923.531928,4918.187681,3735.14176,2967.467954,1945.633275,4856.239668,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0
Tpm3,1.977373918,0.938150215,0.653027495,#N/A,4242.923054,5263.020861,4696.463862,5445.40886,20296.65344,17394.4398,17424.77378,22247.89277,1.14E-48,3538.685653,3409.954985,4607.834944,7878.465068,8719.704938,5544.04013,5.42E-05,1294.557637,1359.492959,1252.904113,1754.036139,2478.802574,1908.734706,0.001774476,ENSMUSG00000027940,8925.125096,6389.307662,6257.197854,21898.03295,9717.63249,8755.455034,10258.89439,6507.968549,4244.139604,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0
Pmvk,-0.307032084,0.381454975,-0.965609991,#N/A,852.6041407,870.0434089,783.5904482,871.2289264,638.7182161,724.3635018,689.6941865,675.7778122,0.015856853,533.4196234,557.1591392,562.4931496,667.3112319,736.283891,748.2639356,0.012463898,207.3681647,192.1713178,204.699827,98.32041137,91.97286208,118.9273426,0.00133646,ENSMUSG00000027952,279.996352,554.1865947,959.1142389,215.6703881,454.673562,295.0413678,271.8778024,192.2332278,818.5916525,#N/A,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0
Tlr2,4.167906339,0.585572372,1.651485413,#N/A,235.7608911,322.8847154,194.4465186,168.7720957,3227.703103,2794.898817,5961.106818,4584.991556,2.06E-58,152.9807222,207.1715154,185.40277,269.0207584,263.9147454,286.6483734,0.009260574,34.13467732,50.02807034,32.94020204,111.4297996,117.8681339,140.5504958,1.44E-05,ENSMUSG00000027995,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Gar1,0.699793302,1.101095988,1.051368032,#N/A,267.4533388,296.7048736,299.6507918,346.6670074,495.2124659,421.0160442,483.5355981,566.3661664,1.36E-05,202.2968761,227.4478764,258.7258994,539.2061089,493.4058283,444.8633846,8.08E-10,55.46885065,66.70409378,59.99822515,145.5142088,125.0116572,108.115766,0.00473235,ENSMUSG00000028010,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Ctso,-0.455413423,-0.36960703,-0.653015173,#N/A,1869.854412,2177.290176,2022.824231,2922.037959,1531.512187,1634.405874,1949.135744,1441.659333,0.028558525,1594.220158,1413.174209,1278.964871,1020.182616,1089.126431,1207.087468,0.049789799,898.5953805,968.0034562,696.4499861,452.2738923,600.0559545,576.9450424,0.007577385,ENSMUSG00000028015,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Gstcd,1.596038496,0.808156622,0.926250681,2.713184275,114.4020062,109.9553355,112.4597403,119.5088894,296.4217136,309.8246274,357.3415531,417.0514498,2.93E-21,86.5548823,117.2502619,100.5574346,187.4993165,198.8922719,147.9775694,0.003191681,114.351169,130.2318021,88.23268405,211.0611497,217.8774597,206.4028261,0.002500532,ENSMUSG00000028018,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.036001487,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0
Fubp1,0.456403329,0.717615635,0.692895416,#N/A,1686.656605,2183.398805,1813.866778,2156.633698,2574.869567,2173.090505,3014.913174,2995.304703,0.010862448,1302.349043,1208.647436,1137.555979,2072.973809,2053.945192,1874.382545,7.92E-09,2382.600477,2326.702319,2365.812368,4239.576138,3428.891169,3771.274493,5.88E-05,ENSMUSG00000028034,727.0250105,389.757605,327.2173905,750.3532253,518.6120316,769.8735691,343.7602065,441.553899,180.6801395,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0
Ptgfr,-1.494580658,-1.304551798,-1.948599501,#N/A,319.2434362,379.607706,206.7808127,246.3160315,91.74957801,71.24886903,148.6840728,97.82688329,8.37E-08,208.3355888,238.0268474,143.5038389,68.71092964,50.67928081,119.1265967,0.00150112,361.8275796,554.2792555,324.6962773,65.54694091,120.5469551,133.6704016,6.00E-10,ENSMUSG00000028036,0,0,0,0,0,0,0,1.165049866,0,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Adam15,-0.794523497,0.723051876,-0.655383726,#N/A,11123.27614,13790.66799,8047.764122,8364.709975,5515.56117,7049.31992,5507.557924,5752.478177,0.000114788,4859.150834,3736.139924,4729.341844,6370.318392,9650.100037,5972.151337,0.005131713,2356.146102,2862.717358,2306.990579,1250.635633,1800.167864,1724.937904,0.003183525,ENSMUSG00000028041,6841.566035,6005.64002,4170.352252,5836.579878,2009.49476,5324.574684,3739.624101,3033.78985,652.6609121,#N/A,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0
Gpatch4,0.84429239,1.623080212,1.611384788,#N/A,219.528174,191.9855065,221.291747,237.1932156,409.3442711,355.1648168,373.584351,424.7746248,7.74E-09,157.0065307,142.8161085,155.026045,533.3831487,486.7123384,381.5773801,2.30E-16,68.26935464,86.55650265,98.82060613,277.9190295,272.3468246,222.1287557,1.08E-08,ENSMUSG00000028069,0,0,0,0,0,0,0,0,0,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Fmo5,-1.765872076,-0.75974962,-1.392757107,#N/A,990.9687293,1129.223843,877.9115207,1048.211556,272.8961807,335.7333071,322.3570654,257.4391666,1.47E-33,898.7617429,790.778082,821.219049,413.4301699,453.2448888,614.2465143,0.00032756,420.709898,574.9257607,384.6945024,152.0689029,166.9798564,206.4028261,5.89E-08,ENSMUSG00000028088,107.1710175,40.75590341,174.4602924,29.95422057,20.29792687,81.4437109,22.02847866,16.31069812,0,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0
Abca4,1.65170839,-1.057429639,0.843719424,#N/A,50.24412434,77.66686398,77.63349811,62.03514869,236.4316049,249.3710416,171.1741006,182.7818083,3.51E-13,211.3549451,394.9482506,590.7749281,194.4868686,208.4544003,172.1751593,0.010837203,154.4594149,187.4067397,171.7596249,267.4315189,454.5066679,198.5398613,0.024458559,ENSMUSG00000028125,21.24110256,68.86342301,45.91060325,50.92217497,15.22344515,6.146695162,86.95452103,106.0195378,3.687349786,#N/A,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0
Ccn1,1.978637283,2.517741299,2.500770855,3.442196816,1396.01367,1363.969757,2087.397888,2822.599265,6770.648346,4665.721393,8300.069711,10491.93323,3.11E-12,749.8068292,1203.357951,1371.142519,7002.691863,8671.894296,3363.465004,2.31E-06,100.6972981,189.7890287,187.0532902,1174.601181,667.0264852,859.0289047,2.85E-19,ENSMUSG00000028195,3016.236564,251.5623004,1085.994452,5480.124654,7023.082698,10500.60424,1378.519007,39250.52997,31006.92435,0.040240513,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0
Rps20,0.367276305,0.377489018,0.861570331,#N/A,7606.960425,8671.636263,6380.457779,8476.920612,9225.537696,11365.27414,9826.892711,9741.498063,0.02463449,4870.221807,4920.103094,5834.426151,6486.777595,7593.286206,6215.98859,0.038163359,804.7250178,851.2712921,842.3280237,1742.237689,1541.215145,1258.074368,1.10E-05,ENSMUSG00000028234,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Polr1e,0.702498903,1.781909003,1.212751303,#N/A,108.9911005,119.5546108,94.32107247,124.0702974,196.4381991,155.4520779,168.6752086,205.9513332,0.000513327,79.50971746,86.39492981,85.89280869,344.7192402,281.1265766,241.9758996,2.61E-15,40.10824585,57.96903388,59.99822515,111.4297996,117.8681339,135.6361428,0.001515461,ENSMUSG00000028318,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Anp32b,0.429431108,0.589552904,0.970575343,#N/A,2353.743979,2583.077723,2564.082078,2594.528866,3394.734386,3159.779388,3333.521901,3708.411194,7.09E-05,1771.355731,1774.622385,1768.134891,2735.626673,2820.827894,2441.164556,7.05E-07,1657.238584,1669.190537,1704.655456,3053.176508,4031.625944,2771.695093,4.93E-07,ENSMUSG00000028333,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Tmeff1,-2.039643237,-1.053428116,-1.160725247,#N/A,1796.420692,1861.386751,2708.465873,3926.459999,689.2981117,774.0218044,502.277288,536.7606623,3.14E-15,1741.162167,1305.621337,2785.231443,718.5532811,1288.018703,802.2431748,0.004550986,942.970461,890.1820135,867.0331752,395.9035231,464.3290124,346.9533219,4.96E-09,ENSMUSG00000028347,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Txn1,1.803140533,1.246195382,0.583297218,#N/A,3319.977139,3992.425873,2668.560804,3170.178554,11080.52596,9753.538358,12133.37001,12924.73336,1.21E-31,1842.813831,2136.952141,2019.528478,4864.5009,5286.900823,4081.947291,3.87E-17,371.2146159,409.753719,322.3434057,635.8053268,543.8007088,477.6751117,0.023200012,ENSMUSG00000028367,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Kdm4c,-0.387769392,-0.313291679,-0.557117402,#N/A,822.4576661,943.3469659,994.7245412,1091.088792,725.7626876,730.8406717,774.6565138,711.8192955,0.007999392,952.1037052,885.1072401,989.8622465,753.491042,727.6779754,792.9364094,0.045096984,1108.523646,1314.229467,1210.552425,752.4788817,925.9792036,789.245092,0.008106439,ENSMUSG00000028397,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Cntfr,0.953651751,-0.866513129,-1.944481375,#N/A,560.415233,248.708497,476.6841893,274.5967611,824.5699254,779.419446,643.4646848,777.466283,0.000616805,333.1356516,297.0927688,417.9418374,180.5117643,192.1987819,201.026132,6.02E-05,78.50975784,69.08638285,105.8792209,18.35314346,22.32351021,24.57176501,2.67E-05,ENSMUSG00000028444,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0
Spaar,-0.828145667,-0.738941799,-0.674248532,#N/A,1004.882487,1374.441694,867.7538667,634.0357108,492.8599126,747.0335965,546.0078976,399.0307082,0.003980146,1577.110472,1882.175257,1530.358457,1053.955785,801.3063645,1135.425375,0.000234039,467.6450793,568.5729899,524.6903611,200.5736392,411.6455283,362.6792515,0.041363058,ENSMUSG00000028475,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Reck,-1.171973655,-1.066200823,-1.131904881,#N/A,5471.971634,5948.932716,5826.865639,6380.497499,2027.900929,2976.259574,3253.557358,2228.135987,9.72E-12,8141.191196,6954.79185,6732.11075,3262.02227,2211.720312,4950.2685,0.000506417,2480.737674,3724.311903,2383.458905,831.1352108,1440.312879,1645.325385,3.77E-05,ENSMUSG00000028476,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0
Glipr2,4.445289546,1.294785797,1.075900202,#N/A,280.5941098,338.5926205,356.2434353,327.5090938,6976.496758,4803.901018,8421.265972,8185.278301,1.50E-128,517.3163895,646.1988117,638.9586988,1678.177112,1654.248223,1091.683578,3.62E-09,265.3971162,348.6082997,176.4653681,423.4332383,642.9170941,603.4825486,0.000325951,ENSMUSG00000028480,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Plin2,2.278395845,1.231131135,0.706956646,#N/A,1469.44739,1884.075948,1287.845413,1655.791101,9003.221411,6273.139059,7466.689236,7800.406747,6.70E-46,1756.258949,1954.464892,2300.251316,5719.311448,5075.577784,3316.931177,2.20E-07,204.8080639,313.6680601,201.1705196,391.9707067,385.7502565,400.0283343,0.014701031,ENSMUSG00000028494,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Rps6,0.37700746,0.390491954,0.92507315,#N/A,5894.795265,6374.791476,6013.331143,7105.761369,7988.09467,8662.135228,7757.810152,8559.852288,0.001529641,3786.272874,4280.95693,4820.472019,5912.633725,5767.875884,5213.64996,0.02254238,1444.750218,1588.192709,1677.597433,3316.67521,3415.497063,2211.458851,1.43E-05,ENSMUSG00000028495,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Tnfrsf1b,1.289616873,0.387845911,0.585678739,#N/A,1145.566035,1363.969757,1329.201575,1255.299479,2946.572986,2954.669008,3346.016361,3206.40482,1.42E-32,1111.12314,1216.581665,1362.762733,1608.30159,1774.731041,1445.340662,0.038672765,387.4285876,458.9876929,302.3439973,469.3160969,563.4453978,692.9237732,0.048989774,ENSMUSG00000028599,2607.828092,942.0703651,436.5681,2874.107464,5242.954511,1214.996744,1192.436332,1363.108343,1688.806202,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0
Lrp8,-3.018268034,-0.958843982,-0.54113597,#N/A,1808.788476,1698.199071,2683.797285,2818.950139,321.123523,371.3577416,171.1741006,247.1415999,1.07E-33,3310.221022,2671.190177,3286.971142,1616.453735,1791.942873,1359.71842,2.13E-08,3181.351926,2946.891572,3341.077636,1996.55982,2704.716497,1803.567552,0.018811281,ENSMUSG00000028613,525.2345361,950.5026209,202.0066543,211.177255,33.49157934,551.6658908,233.6178132,96.69913884,151.1813412,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0
Ctps1,3.304803146,0.682456566,0.55944533,#N/A,725.8343501,957.3095482,880.8137075,1016.281701,8271.57734,7142.159356,11170.04715,8787.685951,4.91E-87,1410.03942,1745.530214,2325.390674,3013.964168,2965.216034,2816.227201,0.00296278,547.0082041,697.2165993,539.9840264,891.4383964,887.5827661,853.1316811,0.012426024,ENSMUSG00000028633,149.6532226,47.78278331,167.7823864,832.7273319,615.0271842,335.5071109,356.5135362,378.6412063,169.6180902,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0
Mfsd2a,-2.499658967,-0.826234523,-0.954887445,#N/A,5203.745309,6518.780606,7692.97178,11056.85297,1393.88782,1663.553139,987.0623321,1342.545254,1.82E-26,6286.29994,6289.198258,5244.698697,3886.243597,2555.000723,3611.024963,8.16E-05,945.5305618,884.623339,928.2078362,439.1645041,641.1312133,341.0560983,0.000212062,ENSMUSG00000028655,39742.1029,19231.16491,32886.18248,41282.90679,2228.712371,12812.78607,19468.53756,12524.28605,5036.919808,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0
Gale,0.86135558,1.815085775,2.363820225,#N/A,60.29294921,59.34097473,86.34005865,35.57898233,105.8648977,106.8733035,106.2029091,122.2836041,0.00487678,65.41938778,51.13169315,61.80092333,189.8285005,244.7904885,190.7886901,1.57E-13,26.45437492,11.91144532,14.11722945,115.362616,71.43523268,85.50974223,1.35E-06,ENSMUSG00000028671,401.6499394,178.0142908,360.6069201,495.7423505,466.8523181,493.7845114,441.14927,313.3984138,623.1621139,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0
Plk3,2.247698049,0.775603122,1.025405734,#N/A,180.1058611,159.6970349,219.1151068,200.7019516,906.9092903,754.5902947,745.919256,1203.528104,1.98E-31,352.2582419,412.5798689,447.2710892,758.1494101,766.8827021,550.9605098,0.000353199,70.82945544,87.350599,95.29129877,159.9345358,193.7680686,160.2079078,0.001732937,ENSMUSG00000028680,965.504662,187.8519226,217.8666809,949.5487921,1397.512265,1100.770659,376.2232276,560.3889853,449.8566739,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0
Mrto4,1.012962184,1.46626449,1.096213857,#N/A,294.5078673,340.3379433,264.8245496,314.7371514,574.0230009,595.8996319,562.2506955,716.9680789,1.15E-11,185.18719,232.7373619,226.2542278,656.8299037,606.2389441,519.3175076,4.66E-16,83.62995943,100.0561407,95.29129877,213.6830274,196.4468899,186.7454141,0.000190244,ENSMUSG00000028741,295.4444266,289.0389932,371.4585172,735.376115,580.5207086,458.9532388,373.3247436,363.495558,250.7397855,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0
Pink1,-0.448881847,-0.712751843,-1.208970096,#N/A,8935.724267,7269.269404,6311.530842,7456.989785,6021.360126,5800.305656,4790.375926,5345.724294,0.005623287,6583.203315,6047.645087,6160.19034,3510.080372,3645.083367,4308.101689,1.38E-07,1536.913846,1754.158847,1658.77446,574.1912024,829.5416395,734.2043384,5.86E-10,ENSMUSG00000028756,452.8216865,3062.31426,1492.511975,515.2125938,207.0388541,1463.425673,3070.653986,617.4764287,339.2361803,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0
Sema3c,-0.928199135,-0.980615153,-1.358148305,10.26908824,10486.33524,12685.87867,9229.679715,13989.83831,6828.285902,6567.85029,4840.353765,6141.211318,2.06E-07,9703.204886,7906.017658,8657.366632,3835.001547,4738.03465,4735.28222,1.35E-10,9593.551061,11074.46776,10612.62724,3491.030073,5784.467966,2924.040036,1.24E-08,ENSMUSG00000028780,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.42E-08,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0
Ak2,0.398015311,0.741994452,1.043890875,#N/A,548.8204351,589.9191017,473.0564558,582.9479413,764.5798167,698.4548221,703.4380923,723.404058,0.004544956,378.425997,410.816707,369.7580667,649.8423515,701.8602286,588.1875713,1.57E-06,156.1661487,169.1425235,168.2303176,343.4659704,356.283223,317.4672039,1.07E-05,ENSMUSG00000028792,1440.532956,1378.673836,3217.915919,1249.090998,1721.264199,1411.690989,1330.983869,991.4574356,1803.114045,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0
Nipal3,-2.33112284,-0.701596195,-1.158540624,#N/A,1770.912136,2115.331217,1352.41907,1410.387351,315.2421398,438.2884973,303.6153756,262.5879499,2.19E-30,1261.084506,1176.910523,1122.891353,730.1992014,698.0353772,761.2934072,2.60E-08,954.0642311,1147.469232,1163.494994,456.2067087,524.1560198,480.6237235,8.06E-10,ENSMUSG00000028803,230.7556142,229.5447434,112.6896625,546.6645254,1060.566679,246.3800311,137.96784,220.1944246,0,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0
Csf3r,1.385782421,2.161436496,1.784413257,#N/A,48.69815128,48.86903801,49.33717637,39.22810873,76.45798167,124.1457566,123.695153,163.4738708,6.90E-07,50.32260599,124.3029092,79.60796903,508.9267161,346.1490501,286.6483734,4.44E-09,23.89427412,11.91144532,22.35227996,44.57191982,76.79287513,76.66390682,0.001279857,ENSMUSG00000028859,3.862018648,0,0,0,4451.335363,3.073347581,0,173.59243,0,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0
Fgr,3.586067846,2.688483597,3.992420711,#N/A,18.55167668,23.56185761,19.58976121,16.42106877,211.7297954,272.0411363,228.6486162,225.2592707,1.17E-55,17.10968604,54.65801682,59.70597677,361.0235286,225.6662315,262.4507834,1.21E-10,9.387036263,7.146867191,7.058614724,90.45477846,138.4057633,147.43059,4.71E-17,ENSMUSG00000028874,3897.742321,2114.153932,1069.299687,805.7685334,1689.802412,1856.814164,478.8295625,312.233364,0,#N/A,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0
Fam76a,-0.488816961,-0.341816742,-0.684784251,#N/A,1753.133446,1991.413299,1593.300578,2093.686268,1105.700043,1407.704927,1374.390589,1406.905045,0.002079606,1634.478242,1440.503217,1682.242082,1236.796733,1176.1418,1339.243537,0.036190193,1027.453787,1336.464165,1391.723536,583.3677741,1017.952066,731.2557266,0.012296803,ENSMUSG00000028878,607.3024324,365.8662134,642.7484455,263.597141,414.0777082,470.2221799,211.5893345,243.4954219,0,#N/A,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0
Smpdl3b,2.107199697,2.055165432,2.420981763,#N/A,44.83321864,64.57694309,25.3941349,67.50883828,150.5634101,228.8600035,219.9024942,267.7367332,8.29E-12,24.15485087,27.32900841,20.94946553,121.1175709,83.19051756,98.65171291,1.58E-09,7.680302397,11.11734896,7.058614724,68.16881855,30.35997389,42.26343581,0.000305407,ENSMUSG00000028885,25.10312121,141.942974,25.87688547,184.2184565,107.5790124,140.3495395,194.7781271,18.64079785,0,#N/A,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0
Yrdc,1.330874455,0.915997082,1.38072676,#N/A,308.4216248,430.2220668,349.7135149,417.824972,943.3738662,790.2147292,873.362747,1180.358579,7.01E-14,283.8194978,276.8164078,344.618708,652.1715355,588.0709,468.130298,1.02E-05,41.81497972,51.61626305,48.23386728,100.942289,141.0845845,125.8074368,0.000211367,ENSMUSG00000028889,48.2752331,125.5469209,493.3303004,106.337483,47.70012815,287.8702234,351.296265,100.1942884,224.928337,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0
Sesn2,0.849229438,0.610733493,1.089843795,#N/A,118.2669388,148.3524368,102.3020863,81.19306225,154.09224,195.3946257,168.6752086,293.4806499,0.004276642,128.8258713,195.7109634,164.4533044,266.6915744,234.2721472,247.5599588,0.021385803,40.96161278,36.52843231,44.70455992,111.4297996,60.71994778,88.45835403,0.024152363,ENSMUSG00000028893,231.7211189,28.10751959,39.23269733,392.4002895,722.6061967,322.1892714,184.3435846,286.6022669,298.6753327,#N/A,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0
