Genes,LB-Log2FC,LB-Padj,M_Log2FC,S_Log2FC,GB_log2FC,H-Control-1 Counts,H-Control-2 Counts,H-Control-3 Counts,H-Lung_Brain-1 Counts,H-Lung_Brain-2 Counts,H-Lung_Brain-3 Counts,H-Lung_Brain-4 Counts,H-Lung_Brain-5 Counts,H1,H2,H3,H4,M1,M2,M3,M4,S-SHAM-1,S-SHAM-2,S-SHAM-3,STROKE-1,STROKE-2,STROKE-3,GB-SHAM-1,GB-SHAM-2,GB-SHAM-3,GB-1,GB-2,GB-3,rMSG,M_Control_Exp,Meningitis_Exp,M_UP,M_DOWN,S_Control_Exp,Stroke_Exp,S_UP,S_DOWN,GB_Control_Exp,Glioblastoma_Exp,GB_UP,GB_DOWN,Control-H.Brain,H-Lung-Brain,H-LB-Regulated,HLB-UP,HLB-DOWN,MusGeneID,Homo_ID
Sorbs2,-1.561740207,0.348992966,-0.640679959,-0.551093007,-0.92843428,5505.843735,6410.231083,746.0827732,1380.491952,840.9382897,1401.263679,2339.645469,1185.999159,5802.036881,5769.164469,6162.793766,7669.551397,3519.41971,3790.223927,4717.908058,4267.054186,5559.641509,4790.5107,4022.297383,3167.690316,2715.644481,3925.593632,7734.917881,9097.961934,7292.725446,2932.570136,5221.022569,4519.23902,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000031626,ENSG00000154556
Pdlim3,2.763617543,0.158437542,0.62182381,-0.822602723,-1.249811324,26.72019068,49.0078829,0,222.9707839,270.3283371,111.6310688,174.7262257,82.51835893,618.3892226,624.8255574,647.9132132,545.5443958,828.0987553,914.3604858,958.3250743,1051.638995,514.2970332,482.2247613,592.8698746,271.3499425,184.5490792,442.071355,305.505362,454.2231148,379.9887593,62.92506328,216.0915789,197.5569907,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,ENSMUSG00000031636,ENSG00000154553
Snx20,3.006778714,0.617661309,1.924626724,1.605880542,2.152193972,7.422275189,0,0,0,0,33.04867168,0,64.72028151,28.60050155,34.03379433,31.9240553,31.92985594,91.74957801,141.4182097,113.6995851,132.5811708,23.14839875,40.55272215,34.56661813,96.6611383,90.84022032,112.611861,23.04090719,14.29373438,15.29366523,79.96726791,61.61288819,93.37270703,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,ENSMUSG00000031662,ENSG00000167208
Rbl2,-0.87703337,0.599297746,-0.60229654,-0.584973134,-0.569581562,1105.919003,385.7620497,628.0660436,352.3488931,317.5047505,379.6925169,491.225924,381.8496609,660.1304952,645.7694309,489.0184834,495.3689079,390.5238448,356.2443451,378.582135,383.5843582,793.0842703,718.4884469,681.9051031,437.8866024,403.5218208,619.8305736,878.967941,1174.468508,1024.675571,688.2428796,711.6735056,674.2492318,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000031666,ENSG00000103479
Gab1,-1.264381541,0.377172394,-0.850295356,-0.547705295,-0.5828402,681.3648624,992.0595724,375.7544149,232.605324,184.9614938,408.334699,370.5268865,224.9029782,1731.489823,2160.709609,1473.585371,1861.966742,1029.242061,1025.551903,975.8173182,976.9816371,1582.142732,1511.911272,1363.810206,958.4592388,1008.804552,1081.446136,973.6916706,1252.289951,1010.558341,644.9818986,827.7557587,687.0265496,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000031714,ENSG00000109458
Hp,9.240897103,NA,4.746677047,3.597377684,3.154078457,0,0.700112613,0,0,1156.945376,7.344149262,17.24271964,4.854021113,13.14077098,14.83524368,30.47296188,29.19301115,341.1202259,796.6918991,557.2529115,659.0442664,13.08387756,67.88173056,48.18377073,793.0871709,355.7111785,416.9430885,3.413467732,0.794096355,3.529307362,9.176571728,25.89527185,31.45185921,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,ENSMUSG00000031722,ENSG00000257017
Pllp,-2.345982756,0.130946301,-4.56067482,-0.640096481,-1.171645987,14611.49094,15611.11104,25174.18928,4097.432246,3785.345551,4283.10785,5645.26641,347.8715131,599.837546,749.6161366,471.6053624,595.7198837,25.8780861,52.89688761,8.74612193,14.15915416,297.9098274,202.7636108,278.6278916,159.5491078,165.4248223,174.0365124,225.2888703,246.1698699,242.3457722,115.362616,100.0093258,102.2185424,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000031775,ENSG00000102934
Usb1,1.524381975,0.372574255,1.367494745,0.689241762,0.982513902,429.0075059,525.7845722,104.4515882,1218.081134,1271.516666,1431.374691,906.20071,252.4090979,186.2897533,228.637285,224.9194805,212.5616124,491.683636,561.3547257,580.9923853,565.0789706,179.1484773,237.1452665,216.8269683,374.9986329,324.1561546,323.8754348,57.17558451,56.38084117,51.76317464,115.362616,87.50816003,124.8245662,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000031792,ENSG00000103005
Mvb12a,0.325081562,0.90075183,0.631275035,0.439569626,0.741568187,776.3699848,952.8532661,1413.487727,1409.395573,1220.596093,1945.46514,1329.988442,655.2928503,691.8229428,877.8973614,591.3205697,720.7024627,1041.004827,1124.868508,837.1288133,1459.680074,514.2970332,543.9354254,427.3690969,702.2489927,691.3418873,623.5532797,157.8728826,154.0546928,143.5251661,312.0034387,233.0574466,219.1801439,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000031813,ENSG00000141971
Usp10,-0.427766481,0.87417122,0.795210491,0.482217893,0.558837644,1690.794288,1596.95687,438.154065,904.2704015,1031.141607,1214.722288,860.9864674,605.1346321,400.4070217,552.3946618,539.0812065,592.9830389,910.4381202,847.4297301,895.8527748,962.8224829,458.9421666,562.4486247,546.7810505,782.6058427,730.546614,679.3938719,247.4764106,266.0222788,304.6968689,420.8113607,424.146694,358.7477691,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000031826,ENSG00000103194
Psmb10,-1.137329893,0.584468403,2.269040521,0.460201657,0.690636128,611.5954756,898.2444823,2059.188454,492.7379053,813.2315072,798.3090248,498.5061834,100.3164363,2287.267137,2878.037274,1580.240737,2340.914581,11631.02343,9833.423454,10424.12789,11901.41267,977.2650082,1063.186585,923.8714301,1435.94197,1370.253008,1275.026856,157.8728826,239.0230027,158.8188313,336.9112763,259.8456589,303.7070155,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000031897,ENSG00000205220
Slc7a6,0.88763328,0.639637053,1.898550162,0.822487064,1.082436875,53.44038136,205.8331082,188.5554645,192.6908009,369.1741557,334.8932064,255.5754222,229.7569994,164.6461305,187.6221995,185.7399581,174.2457853,645.775876,550.5594425,563.5001415,897.1754955,169.0839561,204.5267726,184.3552967,379.657001,317.4626647,292.2324326,86.19006023,96.87975526,85.87981247,226.7924156,127.6904784,217.2144027,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000031904,ENSG00000103064
Agt,3.089818163,0.455757603,0.710177866,-2.048457638,-2.712238565,65.31602167,0,0,31.65634587,183.4638299,0,60.15793297,648.8208221,649.3086838,281.86963,493.3717637,295.5792379,778.6951364,808.5667106,454.7983403,773.6046955,1414.065228,860.4229744,1340.765794,274.8437186,399.6969694,199.1647789,156.1661487,99.26204432,177.6418039,9.176571728,37.50349716,17.69167081,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,ENSMUSG00000031980,ENSG00000135744
2310022B05Rik,#N/A,#N/A,-0.647128573,-0.370793441,-1.175174159,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3318.431166,3850.182066,2889.127004,2846.318587,2066.718058,2087.807768,1936.641284,2148.329845,2686.220708,2392.610607,2398.713804,1950.691646,1753.694359,2078.200707,1181.059835,1415.079704,1107.026076,357.8862974,671.4911872,607.414031,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,ENSMUSG00000031983,#N/A
Egln1,1.007848055,NA,-0.440082045,-0.407287266,-0.565762011,40.08028602,259.0416667,56.97359359,271.1434842,244.8680505,240.8880958,275.1171712,165.0367179,2751.832041,2871.928645,2796.257025,3108.143405,2159.643913,2262.691356,2056.588099,2015.748674,2465.807693,2290.347221,2673.151802,1808.611419,2034.820935,1757.117302,872.9943725,956.0920109,839.9751521,523.0645885,685.7782337,592.670972,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000031987,ENSG00000135766
Adamts8,-4.077932351,0.073672442,1.549540089,1.192903495,1.206550439,745.196429,496.3798425,179.0598656,0,40.43692577,0.734414926,81.99871118,16.18007038,179.3328746,212.0567185,122.6173942,133.1931134,374.0559719,329.2561372,474.7894762,716.9680789,90.58069077,88.15809164,251.3935864,253.8810621,399.6969694,327.598141,202.2479631,253.3167371,115.2907072,436.5426265,438.4337406,449.1718643,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,ENSMUSG00000031994,ENSG00000134917
Aplp2,0.690218906,0.77658116,-0.68767522,-0.383669929,-0.927900114,8152.627068,6202.99775,2051.049369,8624.289705,10555.53529,10339.09333,11580.21051,3020.81914,22091.18199,25687.66077,20826.81835,29620.87122,14209.42182,15307.71156,16346.50189,15119.40225,17005.01501,14791.16462,16991.06402,11777.51918,11942.14223,13672.569,17285.80059,20851.38208,18012.40834,8072.761243,11650.19351,9787.425438,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000031996,ENSG00000084234
Dcun1d5,-0.153783526,0.962476712,1.125865002,0.486499467,0.665031812,326.5801083,581.7935813,1260.20163,745.9886722,792.2642123,738.8214158,657.1392041,313.8933653,636.9408993,771.4326715,673.3073481,810.1060593,1560.919103,1326.740304,1648.019261,1773.755858,596.826107,598.5934422,641.0536454,794.2517629,1006.892126,770.6001725,528.2341315,482.0164872,510.5731317,929.4556221,846.5075073,636.900149,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000032002,ENSG00000137692
Pdgfd,3.708423725,0.11106532,-1.336882863,-0.689512889,-0.993976846,57.89374648,109.9176802,0,1073.563034,1371.860148,219.5900629,968.6576723,29.12412668,2145.037616,2271.537606,2295.629795,2533.405999,683.4167285,1066.573979,1175.728677,733.7016247,2179.975291,1935.951692,2020.575951,1147.123147,1147.455415,1508.626666,1669.185721,2142.471965,1574.071083,777.3867192,1074.207311,851.1659399,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,ENSMUSG00000032006,ENSG00000170962
Pou2f3,6.616578679,0.170954749,1.899646029,-0.674854589,-1.440566639,0,0,0,0,14.22780722,0,0,87.37238004,41.74127253,43.63306965,118.2641139,74.80709106,298.7742668,247.211985,258.6353199,236.8440332,179.1484773,166.6187932,163.4058312,93.16736222,91.79643317,133.0867448,75.0962901,92.11517713,68.23327566,31.46253164,33.93173552,21.62315321,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,ENSMUSG00000032015,ENSG00000137709
Ubash3b,2.919044378,0.339654409,2.15280173,0.828603121,1.015543469,11.8756403,0,0,1.376362864,17.22313505,86.6609613,10.72880333,29.12412668,88.89345075,60.21363612,74.73131127,45.61407992,302.3030968,256.9277398,261.1342119,383.5843582,73.47100474,102.2633863,85.89280869,138.5864513,201.7609104,124.7106559,104.9641328,77.82144275,164.7010102,242.5236814,176.8022009,279.1352505,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,ENSMUSG00000032020,ENSG00000154127
Dixdc1,-0.080851103,0.981161485,-1.670410989,-0.932706803,-1.462326809,838.7170964,680.5094597,477.4929748,843.7104355,564.6192969,913.6121682,694.3068442,129.440563,1259.968041,1226.089257,1515.66708,1265.334577,363.4694821,432.8908558,463.5444623,395.1691207,1296.31033,969.7390081,1325.053695,511.2559002,648.3123093,719.412963,1152.04536,1217.349712,1251.727678,331.667521,527.7277814,451.1376055,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000032064,ENSG00000150764
Cadm1,0.336857104,0.9496907,-0.728880239,-0.51397842,-0.609733155,54.9248364,0,174.9903232,121.119932,79.37618763,64.62851351,63.22330535,155.3286756,1007.201446,1014.9052,1107.184281,1377.545213,669.3014088,639.0807646,675.9502806,734.9888205,657.2132342,715.8437041,685.047523,504.268348,463.7632301,474.6450338,1197.273807,1080.765139,1198.788067,807.538312,718.8170288,752.8788798,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,ENSMUSG00000032076,ENSG00000182985
Il10ra,2.162499014,0.595668777,2.039074655,0.920972419,2.443751842,4.453365114,14.70236487,0,0,16.47430309,6.609734336,1.53268619,121.3505278,74.20670672,82.90283234,76.9079514,54.7368959,252.8994778,228.8600035,329.8537413,378.4355748,65.41938778,137.526623,79.60796903,182.8409484,154.906481,199.1647789,53.76211678,75.43915368,57.64535358,280.5409071,271.4538842,466.8635351,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,ENSMUSG00000032089,ENSG00000110324
Stt3a,-0.516642216,0.813139307,0.477785456,0.614934698,0.444436979,2685.379163,2206.054843,4306.932373,1690.173597,2143.905898,2957.488908,2452.297904,1470.768397,2846.136397,3817.020933,3143.7939,3703.863289,4605.12305,4136.752517,5025.271772,5047.09486,2246.401131,2522.203002,2353.672453,3569.474565,3771.303463,3568.213842,2300.677251,2921.480488,2198.758486,3591.972362,3405.674718,3104.888226,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000032116,ENSG00000134910
Cgnl1,-2.679453911,0.120016107,-0.944579625,-0.354129756,-0.902272388,5865.081855,5950.957209,1436.548467,312.4343701,415.6017371,828.4200368,1794.392357,95.46241523,9966.888296,9223.158263,9099.081307,8886.535049,5793.162457,4702.425356,3922.010962,4897.780144,10234.61161,9682.403205,9765.593359,8222.019716,7747.236474,7254.623605,8217.070198,9326.661684,10044.40875,3772.881919,6430.956822,4552.656621,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000032232,ENSG00000128849
Rora,-0.874982588,0.764354714,-0.334400717,-0.856576858,-1.383369399,659.0980368,1231.498086,618.5704447,513.3833482,578.8471041,433.3048065,733.0071705,21.03409149,963.9142008,966.0361621,885.8925345,1032.702769,719.8813044,755.669823,682.1975105,894.6011038,959.1488701,788.1333393,776.1776981,471.6597712,437.9454832,483.9517992,2192.299651,2172.647626,2839.915991,819.3367614,911.6921571,1028.082648,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000032238,ENSG00000069667
Psma4,-0.44479402,0.879382498,0.416068091,0.879842681,0.480034105,2591.858496,2399.285924,7409.280195,2776.123896,4059.418048,3991.545124,3337.807351,1017.726427,1804.923544,2028.937739,1748.567574,1932.212425,2397.251795,2357.689848,2546.370928,2724.993578,1020.542449,1121.370926,1130.223666,2053.175745,2123.74873,1845.531573,789.364413,830.6247869,809.3878217,1190.332447,1250.116572,948.4701293,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000032301,ENSG00000041357
Pstpip1,6.198120628,0.121574928,1.82385318,2.209758875,3.354775004,0,0,0,0,19.46963093,8.078564189,0,48.54021113,13.91375751,8.72661393,5.078826979,9.122815983,23.52553282,35.62443451,34.98448772,36.04148332,13.08387756,19.39478016,11.52220604,88.50899411,71.71596341,45.60315031,6.826935464,7.146867191,8.235050511,69.47975737,59.82700737,96.32131883,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,ENSMUSG00000032322,ENSG00000140368
Tspan3,-0.326497498,0.906568992,-0.269595153,-0.414474239,-0.626109489,5669.13379,5150.728493,12208.6272,9729.509084,5460.482643,7286.864898,4690.402914,3439.882962,3456.022768,3571.803082,3117.674219,3460.284102,2573.693291,2814.330327,3006.167052,2892.329036,2641.936814,3161.349166,2995.773571,2203.408117,2005.178337,2393.700053,1314.185077,1366.639826,1241.139756,947.8087656,874.1886599,721.4270206,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000032324,ENSG00000140391
Hmg20a,-1.295863546,0.357070836,-0.781157198,-0.38917908,-0.564773544,991.6159653,449.4722974,427.3019519,165.1635437,202.9334608,218.855648,312.2848113,368.9056046,1036.574934,1212.999336,882.264801,936.9132015,578.7281074,607.7744434,595.9857372,584.3869081,1069.858603,1015.581216,1009.764239,753.491042,748.714658,859.9451201,816.6721549,803.6255108,841.1515879,541.4177319,572.3748018,549.4246656,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000032329,ENSG00000140382
Neo1,-0.232074469,0.964129902,-0.668495936,-0.604990707,-1.373687604,60.86265655,113.4182433,6.782570665,90.83994901,16.47430309,1.468829852,44.44789952,105.1704575,1365.867196,1604.824302,1301.6308,1513.475172,935.1399297,829.0777487,918.3428026,957.6736996,1181.574789,1095.805079,1092.514628,698.7552167,621.5383496,894.3801519,1077.802436,1170.498027,1134.084099,336.9112763,455.3996083,510.1098416,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,ENSMUSG00000032340,ENSG00000067141
Aph1b,0.616824634,0.805418893,-0.696198722,-0.480783868,-1.267662549,246.4195363,245.0394145,233.3204309,294.5416529,298.7839515,748.3688098,386.6200915,122.9685349,428.2345367,466.8738453,444.0345873,494.4566263,203.4958589,287.1545327,324.8559574,316.6501749,358.2969546,347.3428811,338.3338684,272.5145345,207.4981875,268.9655192,465.0849785,428.8120315,362.3422225,200.5736392,145.5492866,177.8995787,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000032375,ENSG00000138613
Plscr4,-1.623385416,0.325869671,-2.238387455,-0.620136722,-1.098870784,1753.1414,653.9051804,1064.863594,298.6707415,297.2862876,799.0434397,391.2181501,90.60839412,1872.946358,2237.503812,1690.523837,2540.704251,430.5172506,489.0263283,468.5422462,378.4355748,1436.207175,1108.147212,1054.80559,654.5007196,703.7726543,981.8637464,1082.922638,1390.462717,979.9710108,321.1800105,695.6005782,592.670972,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000032377,ENSG00000114698
Ciao2a,-0.453689211,0.875088739,-0.536128633,0.442006246,0.620927738,570.0307345,1547.248874,3231.216665,1511.246424,1313.451256,1561.366133,1449.154793,673.0909277,946.1355106,1240.05184,869.2049602,983.439563,604.6061935,743.7950115,745.919256,689.9369664,518.3228417,548.34333,520.5942185,624.2213269,782.1821076,748.2639356,219.3153018,227.1115574,183.5239828,395.9035231,253.595076,323.3644275,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000032381,ENSG00000166797
Dpp8,-0.728562773,0.696041618,-0.435972979,-0.333925656,-0.551976033,2174.72663,1446.432658,896.655842,1125.864823,787.0223886,1023.039992,1059.086157,548.5043858,2928.845956,3430.431936,3358.555727,3410.108615,2261.979981,2518.539567,2627.584917,2295.07017,2896.569201,2575.097857,2558.977215,2185.939236,2004.222124,2181.505802,3233.407309,3859.308283,3141.083552,2052.930189,2487.731978,2438.501959,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000032393,ENSG00000074603
Tfdp2,0.474447704,0.848377389,-1.450854073,-0.76643468,-0.643072562,391.89613,279.3449325,546.6751956,514.7597111,361.6858361,602.2202395,372.8259158,969.1862156,948.4544702,911.9311557,838.7319983,922.3166959,335.2388427,354.0852885,313.6109435,320.5117624,945.0585404,915.9625721,845.3109343,485.6348756,498.1868925,605.8704255,1152.898726,1233.231639,1201.140939,728.8819829,836.6851628,730.272856,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000032411,ENSG00000114126
Ptgs2,-0.094962544,0.980811374,6.372839997,0.907027359,1.838501225,280.5620022,592.2952705,1772.963972,225.7235097,926.305133,583.8598664,603.878359,1789.515784,480.0246341,517.4882061,1916.168865,670.5269748,56563.61484,30402.75604,96840.81034,113255.2125,899.768195,1577.148259,1766.039945,2565.596237,2797.878786,2592.864832,322.5727007,366.0784195,244.6986438,1291.274736,875.9745407,1181.410462,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000032487,ENSG00000073756
Trib1,2.288142971,0.100795478,2.528245826,1.055354607,0.674273924,575.9685547,268.1431307,516.8318847,1079.068485,3002.816155,1552.553154,950.265438,4491.587537,360.9847087,405.7875478,327.9471135,718.8778995,2352.553282,2075.932957,2568.860955,3457.408007,336.155008,326.1849391,738.4686601,1052.791193,1123.550093,733.373111,215.0484671,266.8163751,221.169928,348.7097257,431.2902173,342.0389689,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000032501,ENSG00000173334
Myd88,-0.276874434,0.912923701,2.90635454,0.689475098,0.742487094,1947.60501,1536.747185,1805.520311,1863.595318,1349.39519,1871.289232,1337.651873,854.3077159,537.2256372,617.8442663,542.7089401,540.9829878,4065.212072,3477.160714,4847.850441,4393.199377,434.7873157,617.1066415,820.1715757,1013.195064,1142.67435,862.7371497,171.5267535,170.7307162,127.055065,209.7502109,312.529143,263.4093209,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000032508,ENSG00000172936
Rpsa,-0.25656286,0.940249031,0.551035657,1.176908293,0.587432242,3773.484706,4803.472637,18167.79378,10815.45938,4633.772161,10666.64239,6062.157054,5133.936331,6546.422908,7117.426322,5906.675777,6529.199399,9026.746944,9621.835904,9860.627753,9728.626104,3278.014554,3638.284442,4077.813466,8339.643511,9442.601849,7074.072357,2108.669691,2528.402793,1790.535268,3356.003375,3368.171221,2938.783095,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000032518,ENSG00000168028
Slco2a1,3.706982601,0.0863606,-1.274280808,1.746175343,2.255806611,1004.976061,1617.960248,188.5554645,22810.46174,11241.46536,18129.03245,8996.101594,21.03409149,317.6974631,281.86963,250.3136154,240.842342,116.4513875,107.9528319,118.697369,108.12445,197.2646155,181.6056688,205.3047622,450.6971147,955.2566327,551.8911864,92.16362876,119.1144532,79.99763354,439.1645041,508.9760328,450.1547349,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000032548,ENSG00000174640
Atp2c1,-0.774953856,0.678280927,-0.605786167,-0.378792899,-0.626443865,1785.799411,1178.289527,938.7077801,677.170529,985.4628577,951.8017444,842.5942331,343.017492,3694.102619,4612.888124,3954.955123,5093.268163,2658.385209,2798.137402,2889.968575,3057.090103,3116.982215,2935.664452,2679.436642,2181.280868,2045.339277,2488.62906,3501.364526,4217.445739,3672.832528,2328.227341,2593.098946,2457.176501,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000032570,ENSG00000017260
Manf,1.841217468,0.183551757,1.965781794,1.003583903,1.101063222,277.5930921,220.535473,499.197201,750.1177608,946.5235958,1144.95287,670.5502083,2443.190627,1229.821567,1336.044593,1506.960519,1870.177277,5477.920318,4672.198563,6340.938399,6721.736639,981.2908167,1158.397324,1144.888291,2068.315441,2353.239813,2163.822948,303.7986281,306.5211929,271.7566669,773.4539028,597.3771333,525.8357712,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,ENSMUSG00000032575,ENSG00000145050
Thsd7a,0.498845501,0.90075183,-0.491323105,-0.826031311,-1.645241524,670.9736771,814.9310813,446.2931498,1957.187992,369.9229876,1404.201339,792.0155888,27.50611964,170.0570362,171.041633,211.134093,186.1054461,123.5090473,133.8615115,161.1785327,106.8372541,243.561413,247.7242375,214.7320217,128.1051231,106.1396259,163.7990705,817.5255218,931.4750239,1083.49736,297.5831117,316.993845,289.9468271,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000032625,ENSG00000005108
Crebl2,-0.271201363,0.92906754,-0.749538143,-0.824380559,-0.92657183,421.5852308,610.4981984,1385.00093,996.4867134,593.0749113,716.788968,670.5502083,360.8155694,1091.456978,1142.313763,1113.714202,1143.088843,657.5386424,783.7375593,623.473549,603.6948456,1136.284443,1010.29173,920.7290102,524.0664125,518.2673623,688.7006373,614.4241918,626.5420238,612.9230452,280.5409071,362.5338059,330.2445217,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000032652,ENSG00000111269
Oas3,-1.853088186,0.22892815,7.350248788,2.730354772,4.521007278,4776.976312,2255.762839,1323.957794,180.3035352,978.7233701,1161.844413,784.3521579,749.1372585,1.545973057,5.235968358,5.078826979,2.736844795,463.4529966,495.5034982,765.9103918,665.4802456,2.012904239,7.052647331,9.427259491,37.26694489,60.24140927,25.1282665,8.53366933,15.08783074,3.529307362,249.0783755,133.0481209,269.3065445,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,ENSMUSG00000032661,ENSG00000111331
Nlrp3,1.9129318,0.524514384,3.296049774,1.737192729,1.438140036,14.84455038,0,5.426056532,55.05451455,20.96729484,5.87531941,3.065372381,40.45017594,16.23271709,21.81653483,10.88320067,20.07019516,135.2718137,107.9528319,139.9379509,290.9062582,17.10968604,26.44742749,14.66462587,95.49654628,43.98579089,56.77126875,20.48080639,30.96975783,9.411486298,38.01722573,56.25524574,72.73242442,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,ENSMUSG00000032691,ENSG00000162711
Mctp2,4.012270201,0.072335137,6.77474876,2.825130014,2.145048137,0,1.400225226,28.48679679,46.79633737,62.90188453,95.47394041,59.39158987,533.9423225,1.545973057,2.617984179,22.49194805,16.42106877,897.4990772,673.6256708,1749.224386,1405.617849,20.12904239,15.8684565,28.28177847,180.5117643,183.5928663,89.34494754,46.93518132,42.08710679,72.93901881,348.7097257,141.977525,222.1287557,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,ENSMUSG00000032776,ENSG00000140563
Pdxk,-1.925558855,0.199906989,-2.237789355,-1.079381895,-1.254331041,7114.992996,13138.31329,16363.62999,3383.099919,1523.873036,2518.308782,7313.212157,1325.147764,2455.005214,3002.827853,2965.309409,3909.126649,695.1794949,729.7611434,543.5090056,644.8851122,2841.214334,1739.359148,3339.344806,1283.380415,1133.112222,1330.867448,1373.920762,1344.405128,1239.96332,491.6020568,612.5571202,553.356148,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000032788,ENSG00000160209
Abcc4,1.370550768,0.497511877,-1.160223477,-0.840139667,-0.484407551,268.6863619,158.2254505,130.2253568,996.4867134,463.5269825,622.7838574,254.4259076,63.10227447,6496.95177,7360.89885,11712.50056,10029.62389,3598.230245,5706.386692,3567.168301,3055.802907,11903.30922,8760.269566,12829.45269,5360.617104,7403.956063,5942.369688,4224.166318,4851.928726,3832.827795,2838.182542,3394.959433,2993.823849,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,ENSMUSG00000032849,ENSG00000125257
Ugt8a,#N/A,#N/A,-0.964417169,-1.072908152,-2.320866954,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,211.7983088,89.01146209,116.0874738,89.40359664,63.51893862,65.85122743,68.71952945,61.78539997,41.26453691,62.59224507,56.56355694,16.30428839,26.77395967,32.57367879,390.8420553,316.0503491,497.632338,99.63135019,55.36230533,87.47548343,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,ENSMUSG00000032854,#N/A
